Title,Company,Location
No title available,No company available,No location available
No title available,Alpiq,Lausanne
Analyste Data Quality & Gouvernance des Données,Talan SA,Lausanne
Data Science (Junior) Consultant (all genders),Accenture,Zurich
No title available,No company available,No location available
Data Scientist,F. Hoffmann-La Roche AG,Basel
Machine Learning Data Scientist (80% - 100%),Evulpo AG,Zürich
Data Scientist (f/m) 80%-100%,Galenica AG,Bern
(Senior) Data Science & Data Analytics Consultant 60-100%,Eraneos Switzerland AG,Zurich
Data Steward in Supply Chain,Mettler-Toledo GmbH,Nänikon-Greifensee
"Data Analytics Consultant (Zurich, Switzerland)",D ONE Value Creation AG,Zürich
Mitarbeiter:in Data & Underwriting Analysis mit Fokus auf Bilanzanalyse und Prozessautomatisierung 80-100%,AXA Versicherungen AG,Winterthur
Pharmacometrician_ Predictive Modeling & Data Analytics Chapter,F. Hoffmann-La Roche AG,Basel
(Senior) Data Scientist (all genders),Exxeta GmbH,Berlin
Open Application: Zurich,KCAP GmbH,Zürich
Senior Data & Analytics Engineering,Innovation Process Technology AG,Deutschschweiz
(Senior) Data Science & Data Analytics Consultant 60-100%,Eraneos Switzerland AG,Lausanne
Analyste données Exploitation,Transports publics genevois (TPG),
"Talent Community - Data, Analytics & Technology",Wüest Partner AG,Zürich
PostDoc position in Microbial Proteogenomics & Integrated Data Analysis,SIB Institut Suisse de Bioinformatique,Wädenswil
Stadler: Data Analyst / Prozess Ingenieur:in,Stadler Rail Group,Sankt Margrethen
Data Acquisition Consultant,LGT Capital Partners AG,Pfaeffikon (Schuetzenstrasse)
No title available,No company available,No location available
No title available,Auctae Switzerland Sàrl,Neuchâtel
Senior Data Engineer,On AG,Zurich
"Working Student Compliance Data Analyst 80%, duration 12 Months",Zürich Versicherungs-Gesellschaft AG,"Zürich, CH"
No title available,No company available,No location available
COLOGNE - Storekeeper,Viking River Cruises AG,Cologne
Digital Biomarker Solution Architect,Randstad (Switzerland) Ltd.,Basel
Product Owner Business Intelligence & Analytics (w/m/d) 80 - 100%,Bison Schweiz AG,Sursee
CRM Manager 100%,Evulpo AG,Zürich
Kickstart Your Career with JTI as an IWS (Operational Excellence) Trainee,JT International AG Dagmersellen,Dagmersellen
(Senior) Data Platform Engineer (m/f/d) 80% - 100%,Digitec Galaxus AG,Zürich
Senior Consultant (w/m) Data & Intelligence Delivery (DID) for Assurance,Ernst & Young AG,Zurich
Digital Biomarker Clinical Integration Lead,F. Hoffmann-La Roche AG,Basel
